class,amount-observed,amount-collected,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,articles,articles-top,page,internet-mentions,twitter-mentions,region,population,habitat
p,2276,1404,x,s,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,3.0,2.0,207,13702,8923,na,v,d
e,2629,1812,x,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,7.0,4.0,978,14515,9758,as,v,d
e,4262,2879,f,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,11.0,7.0,3220,10617,7423,eu,y,d
e,3595,2638,x,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,13.0,6.0,1988,10004,7595,na,v,d
p,3791,2527,f,s,e,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,9.0,5.0,405,8737,5656,eu,v,l
e,3627,2512,f,s,e,t,n,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,13.0,6.0,2633,8234,5044,eu,c,w
p,2998,1945,f,y,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,14.0,9.0,339,12323,8859,af,v,d
e,2830,1805,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,6.0,3.0,3623,13751,10820,eu,s,p
p,2167,1493,f,y,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,19.0,12.0,3042,10667,7707,as,v,l
e,2277,1686,x,f,g,f,n,f,w,b,w,e,?,k,k,w,w,p,w,t,p,w,13.0,8.0,2058,15271,8767,as,s,g
p,1831,1285,x,s,b,t,f,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,18.0,10.0,1547,14225,9783,eu,v,u
p,2941,2102,f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,9.0,6.0,606,8660,6382,af,v,p
p,2745,1954,f,s,b,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,17.0,11.0,28,4850,3361,sa,s,g
e,3175,2344,f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,8.0,5.0,2930,11418,8239,na,a,g
e,2696,1956,x,f,g,f,n,f,w,b,w,e,?,s,s,w,w,p,w,t,p,w,16.0,11.0,2427,14250,10250,na,n,g
e,3655,2700,x,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,9.0,6.0,2002,10877,6538,as,y,d
p,3066,2133,x,s,e,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,3.0,1.0,437,9814,7224,as,v,l
p,2566,1722,f,s,e,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,14.0,9.0,3025,9837,7096,as,v,d
e,3491,2462,x,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,15.0,9.0,295,6237,4112,au,a,g
p,1874,1337,f,s,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,16.0,10.0,584,7596,5467,as,v,d
p,3142,2355,k,s,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,5.0,3.0,1686,6556,4581,sa,v,d
e,2457,1654,x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,13.0,7.0,2528,8054,5694,af,y,d
p,3523,2531,x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,0.0,0.0,3567,13938,10324,na,v,g
p,3592,2475,x,s,b,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,5.0,3.0,1861,14690,10372,sa,s,u
p,2988,1932,x,y,n,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,18.0,12.0,1825,9696,6978,sa,v,p
p,3806,2668,k,f,n,f,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,6.0,4.0,114,10252,8132,af,v,d
p,3547,2450,k,y,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,11.0,6.0,2370,11851,7488,eu,v,p
p,2481,1953,x,s,e,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,17.0,11.0,3464,8389,6255,sa,v,p
p,3786,2694,x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,6.0,4.0,2846,13821,9586,eu,v,d
e,2997,2025,f,y,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,19.0,12.0,820,14584,10894,sa,v,d
p,3480,2320,x,s,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,14.0,8.0,1324,9856,6970,na,v,d
p,3989,3008,x,s,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,0.0,0.0,1959,11887,8067,na,v,l
e,2904,2157,x,s,g,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,5.0,3.0,2688,13489,8435,as,s,g
p,3341,2302,f,y,e,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,4.0,2.0,473,10266,7676,sa,v,p
e,3264,2216,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,4.0,2.0,3464,15381,10626,af,s,g
p,2128,1512,x,y,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,4.0,3.0,1684,10895,8455,au,v,p
e,3864,2500,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,7.0,4.0,2207,10423,7735,na,s,m
p,2857,2119,k,y,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,14.0,8.0,1343,7228,4575,na,v,p
p,1109,816,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,3.0,2.0,818,12599,9569,na,v,u
p,1251,781,f,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,10.0,7.0,577,9593,6475,af,y,p
p,2365,1686,k,y,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,18.0,12.0,3116,6504,3778,af,v,d
p,2331,1583,x,y,n,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,14.0,9.0,232,7935,5543,na,v,l
e,2117,1574,x,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,8.0,5.0,96,9184,5958,af,v,d
p,3234,2063,b,y,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,3.0,2.0,429,11198,8616,sa,v,g
e,2415,1612,x,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,10.0,6.0,2266,8857,6662,as,v,d
p,4048,2674,f,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,0.0,0.0,2258,9443,7680,as,v,l
e,2358,1823,x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,13.0,8.0,1478,9097,6914,as,y,d
e,2317,1621,f,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,4.0,2.0,1828,8752,5855,na,v,d
e,3630,2686,k,y,b,t,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,,,1768,8469,5942,eu,c,w
e,3000,2241,x,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,6.0,4.0,110,10182,7156,eu,y,d
